lat,lon,loss_fraction,.geo
-14.611098096204016,-68.3213689337102,0.12998267,
-14.611098096204016,-68.31238578086902,0.0,
-14.611098096204016,-68.30340262802783,0.0,
-14.611098096204016,-68.29441947518663,0.0,
-14.611098096204016,-68.26747001666304,0.0,
-14.611098096204016,-68.24052055813945,0.0,
-14.611098096204016,-68.23153740529825,0.0,
-14.611098096204016,-68.22255425245706,0.0,
-14.611098096204016,-68.21357109961586,0.5714286,
-14.611098096204016,-68.20458794677467,0.0,
-14.611098096204016,-68.19560479393348,0.24484181,
-14.611098096204016,-68.18662164109229,0.5595238,
-14.611098096204016,-68.17763848825109,0.0,
-14.611098096204016,-68.1686553354099,0.0,
-14.611098096204016,-68.1596721825687,0.0,
-14.611098096204016,-68.1506890297275,0.0,
-14.611098096204016,-68.1417058768863,0.0,
-14.611098096204016,-68.13272272404511,0.0,
-14.611098096204016,-68.12373957120391,0.0116731515,
-14.611098096204016,-68.11475641836272,0.0,
-14.611098096204016,-68.10577326552152,0.0,
-14.611098096204016,-68.09679011268032,0.21505377,
-14.611098096204016,-68.08780695983914,0.24844721,
-14.611098096204016,-68.07882380699795,0.0,
-14.611098096204016,-68.06984065415675,0.0,
-14.611098096204016,-68.06085750131555,0.0,
-14.611098096204016,-68.05187434847436,0.0,
-14.611098096204016,-68.04289119563316,0.0,
-14.611098096204016,-68.03390804279196,0.0,
-14.611098096204016,-68.01594173710957,0.0,
-14.611098096204016,-68.00695858426838,0.25,
-14.611098096204016,-67.9710259729036,1.0,
-14.611098096204016,-67.96204282006241,0.971864,
-14.611098096204016,-67.95305966722121,0.9773782,
-14.611098096204016,-67.93509336153882,0.0,
-14.611098096204016,-67.92611020869762,0.0,
-14.611098096204016,-67.90814390301523,0.0,
-14.611098096204016,-67.89916075017403,0.0,
-14.611098096204016,-67.87221129165044,0.0,
-14.611098096204016,-67.83627868028567,0.0,
-14.611098096204016,-67.80932922176208,0.0,
-14.611098096204016,-67.80034606892089,0.14285715,
-14.611098096204016,-67.79136291607969,0.33333334,
-14.611098096204016,-67.7823797632385,0.0,
-14.611098096204016,-67.7733966103973,0.0,
-14.620081249045214,-68.3213689337102,0.0,
-14.620081249045214,-68.31238578086902,0.0,
-14.620081249045214,-68.30340262802783,0.0,
-14.620081249045214,-68.29441947518663,0.0,
-14.620081249045214,-68.28543632234543,0.19148937,
-14.620081249045214,-68.27645316950424,0.0,
-14.620081249045214,-68.26747001666304,0.0,
-14.620081249045214,-68.25848686382184,0.0,
-14.620081249045214,-68.24950371098065,0.0,
-14.620081249045214,-68.23153740529825,0.9408284,
-14.620081249045214,-68.21357109961586,0.0,
-14.620081249045214,-68.20458794677467,0.0,
-14.620081249045214,-68.19560479393348,0.40486977,
-14.620081249045214,-68.18662164109229,0.18548387,
-14.620081249045214,-68.17763848825109,0.029325513,
-14.620081249045214,-68.1686553354099,0.05882353,
-14.620081249045214,-68.1596721825687,0.0,
-14.620081249045214,-68.1506890297275,0.0,
-14.620081249045214,-68.1417058768863,0.0,
-14.620081249045214,-68.12373957120391,0.0,
-14.620081249045214,-68.11475641836272,0.0,
-14.620081249045214,-68.10577326552152,0.0,
-14.620081249045214,-68.09679011268032,0.1,
-14.620081249045214,-68.08780695983914,0.0,
-14.620081249045214,-68.07882380699795,0.0,
-14.620081249045214,-68.06984065415675,0.0,
-14.620081249045214,-68.06085750131555,0.0,
-14.620081249045214,-68.04289119563316,0.0,
-14.620081249045214,-68.03390804279196,0.0,
-14.620081249045214,-68.01594173710957,1.0,
-14.620081249045214,-67.9710259729036,0.0,
-14.620081249045214,-67.96204282006241,0.7692308,
-14.620081249045214,-67.95305966722121,0.9981785,
-14.620081249045214,-67.94407651438001,0.1891892,
-14.620081249045214,-67.93509336153882,0.0,
-14.620081249045214,-67.92611020869762,0.0,
-14.620081249045214,-67.90814390301523,0.036363635,
-14.620081249045214,-67.89916075017403,0.0,
-14.620081249045214,-67.89017759733284,0.0,
-14.620081249045214,-67.88119444449164,0.5263158,
-14.620081249045214,-67.87221129165044,0.9230769,
-14.620081249045214,-67.86322813880925,1.0,
-14.620081249045214,-67.85424498596807,1.0,
-14.620081249045214,-67.84526183312687,0.7297297,
-14.620081249045214,-67.83627868028567,0.01775148,
-14.620081249045214,-67.82729552744448,0.0,
-14.620081249045214,-67.7823797632385,0.0,
