basis,country,elevation,gbif_id,institution,lat,lon,precip_mm,temp_c,year,group,PC1,PC2
MACHINE_OBSERVATION,Ecuador,246.33245849609372,5223609420.0,,-2.825813,-77.422827,2565,25.600000381469727,2024.0,occurrence,1.898844336976971,0.8719490882406674
MACHINE_OBSERVATION,Ecuador,246.33245849609372,5223609803.0,,-2.825621,-77.423222,2565,25.600000381469727,2024.0,occurrence,1.898844336976971,0.8719490882406674
HUMAN_OBSERVATION,Brazil,106.2542953491211,5759864769.0,iNaturalist,-7.064526,-35.058524,1403,24.899999618530277,2024.0,occurrence,1.59489440226463,-0.7163503918355884
MACHINE_OBSERVATION,Colombia,1860.59033203125,6496108564.0,Distrito Especial de Medellín (DEMedellin),6.210848,-75.617178,1738,20.0,2024.0,occurrence,-0.3181016584586922,0.12076910683240565
MACHINE_OBSERVATION,Colombia,2597.791015625,4974387388.0,Fundación Humedales (Fund. Humedales),5.112997,-73.302392,1573,15.399999618530272,2024.0,occurrence,-1.590102155562823,0.12219277026304455
MACHINE_OBSERVATION,Colombia,2558.13330078125,4974387426.0,Fundación Humedales (Fund. Humedales),5.143472,-73.427162,1202,15.5,2024.0,occurrence,-1.6410580970077533,-0.39275133110246674
MACHINE_OBSERVATION,Colombia,2434.72705078125,4974387466.0,Fundación Humedales (Fund. Humedales),5.084512,-73.301476,1542,15.0,2024.0,occurrence,-1.5436444823488864,0.06720342834990363
MACHINE_OBSERVATION,Colombia,2434.72705078125,4974387473.0,Fundación Humedales (Fund. Humedales),5.087088,-73.300614,1542,15.0,2024.0,occurrence,-1.5436444823488864,0.06720342834990363
MACHINE_OBSERVATION,Colombia,2590.46240234375,4974387483.0,Fundación Humedales (Fund. Humedales),5.09824,-73.310426,1493,14.899999618530272,2024.0,occurrence,-1.6820653294446393,0.025126356185845154
MACHINE_OBSERVATION,Colombia,2246.885498046875,4974387557.0,Fundación Humedales (Fund. Humedales),5.152936,-73.311995,1478,15.5,2024.0,occurrence,-1.349765194908372,-0.06019285022604196
MACHINE_OBSERVATION,Colombia,2232.34033203125,4974387590.0,Fundación Humedales (Fund. Humedales),5.113897,-73.325097,1448,15.100000381469728,2024.0,occurrence,-1.4085125126547673,-0.0926519839879474
MACHINE_OBSERVATION,Colombia,2590.46240234375,5284167960.0,Fundación Humedales (Fund. Humedales),5.099303,-73.310839,1493,14.899999618530272,2024.0,occurrence,-1.6820653294446393,0.025126356185845154
MACHINE_OBSERVATION,Colombia,2232.34033203125,5284167997.0,Fundación Humedales (Fund. Humedales),5.114444,-73.32505,1448,15.100000381469728,2024.0,occurrence,-1.4085125126547673,-0.0926519839879474
HUMAN_OBSERVATION,Brazil,486.6618347167969,4034857440.0,iNaturalist,-7.229986,-36.319471,403,22.799999237060547,2023.0,occurrence,0.7475871219054818,-1.9722086531476506
HUMAN_OBSERVATION,Colombia,175.65353393554688,4079284429.0,Agropecuaria Aliar S.A.,4.15495,-72.144572,2250,26.799999237060547,2023.0,occurrence,2.0531251271558686,0.39995781728280655
HUMAN_OBSERVATION,Brazil,316.003662109375,4129706676.0,iNaturalist,-13.027258,-49.091692,1600,26.200000762939453,2023.0,occurrence,1.6957897535387607,-0.4518247540825471
MACHINE_OBSERVATION,Colombia,2099.93310546875,4506790859.0,Alcaldía de Pitalito (pitalito),1.777667,-76.23675,2108,14.5,2023.0,occurrence,-1.2385787161905693,0.8056658940484519
MACHINE_OBSERVATION,Colombia,2339.93212890625,4506790916.0,Alcaldía de Pitalito (pitalito),1.675694,-76.218444,2233,16.5,2023.0,occurrence,-1.0699847617642595,0.9576580389859577
MACHINE_OBSERVATION,Colombia,2754.406982421875,6416889891.0,Fundación Parque Jaime Duque,4.95038,-73.96856,789,13.199999809265137,2023.0,occurrence,-2.2388550120933144,-0.867936064394779
MACHINE_OBSERVATION,Colombia,1965.15625,4168381007.0,Fundación Trópico,4.006367,-76.48803,1541,18.0,2023.0,occurrence,-0.7496976946516251,-0.0804460597609145
MACHINE_OBSERVATION,Colombia,1471.388671875,4168381153.0,Fundación Trópico,3.879528,-76.585083,1189,20.299999237060547,2023.0,occurrence,-0.13546459639661254,-0.6923590671126286
HUMAN_OBSERVATION,Brazil,401.8947448730469,4177266418.0,iNaturalist,-9.295425,-40.537924,446,24.799999237060547,2023.0,occurrence,1.125908443326644,-1.9784784072206587
MACHINE_OBSERVATION,Colombia,2339.93212890625,4506791438.0,Alcaldía de Pitalito (pitalito),1.673889,-76.217306,2233,16.5,2023.0,occurrence,-1.0699847617642595,0.9576580389859577
MACHINE_OBSERVATION,Colombia,2729.022216796875,4602464359.0,Alcaldía de Envigado,6.099094,-75.576902,2174,13.5,2023.0,occurrence,-1.8220631006609298,1.0119011358764538
MACHINE_OBSERVATION,Colombia,2118.788330078125,4602464695.0,Alcaldía de Envigado,6.127022,-75.586921,2089,17.0,2023.0,occurrence,-0.8728303167887137,0.716265996576535
MACHINE_OBSERVATION,Colombia,2488.415771484375,4602464714.0,Alcaldía de Envigado,6.112735,-75.579668,2056,15.100000381469728,2023.0,occurrence,-1.4355185784868756,0.7741402518587702
HUMAN_OBSERVATION,Brazil,151.93002319335938,4945770504.0,iNaturalist,-5.647328,-36.106596,488,25.200000762939453,2023.0,occurrence,1.3755339831183533,-1.9673256401203068
HUMAN_OBSERVATION,Brazil,85.45103454589844,5196712520.0,Prima_Ambiental,-5.310936,-37.12975,698,27.299999237060547,2023.0,occurrence,1.7987546294522716,-1.7455753439684953
HUMAN_OBSERVATION,Brazil,176.12701416015625,4067440600.0,iNaturalist,-5.652394,-38.947774,745,27.200000762939453,2023.0,occurrence,1.730977539927058,-1.665823656848706
MACHINE_OBSERVATION,Colombia,2132.056396484375,4506791228.0,Alcaldía de Pitalito (pitalito),1.71725,-76.224194,2200,16.100000381469727,2023.0,occurrence,-0.992216625308059,0.8935515717675014
MACHINE_OBSERVATION,Colombia,2734.995849609375,6496108306.0,Distrito Especial de Medellín (DEMedellin),6.27261,-75.6798,2118,13.800000190734863,2023.0,occurrence,-1.7944881373055104,0.9283405711218163
MACHINE_OBSERVATION,Colombia,3160.76025390625,4980782325.0,Secretaría Distrital de Ambiente (SDA),4.55022,-74.07216,1064,10.100000381469728,2023.0,occurrence,-2.9334974788915735,-0.35246835746609484
HUMAN_OBSERVATION,Brazil,1145.9205322265625,5284152368.0,Prima Ambiental,-11.42769,-42.532723,792,21.0,2023.0,occurrence,0.10205985786919711,-1.299412278781559
MACHINE_OBSERVATION,Colombia,2897.70654296875,6496108318.0,Distrito Especial de Medellín (DEMedellin),6.32815,-75.6461,2606,10.699999809265137,2023.0,occurrence,-2.2618856246564323,1.6999664140846626
MACHINE_OBSERVATION,Colombia,2132.056396484375,4506791118.0,Alcaldía de Pitalito (pitalito),1.718278,-76.223,2200,16.100000381469727,2023.0,occurrence,-0.992216625308059,0.8935515717675014
HUMAN_OBSERVATION,Colombia,2464.2978515625,4602464619.0,Alcaldía de Envigado,6.154655,-75.545159,1988,15.199999809265137,2023.0,occurrence,-1.420350267956528,0.6751952185955674
MACHINE_OBSERVATION,Colombia,2218.083251953125,4979667604.0,Fundación Grupo Argos (FGA),4.90203,-76.07442,3047,16.399999618530273,2023.0,occurrence,-0.791537078010373,2.054558876384117
MACHINE_OBSERVATION,Colombia,2105.8857421875,4979667719.0,Fundación Grupo Argos (FGA),4.94886,-76.07077,3007,16.700000762939453,2023.0,occurrence,-0.6759770772819075,1.976008387869158
