clear_fraction,lat,lon,.geo
0.2658228,-15.123137808152146,-68.86934125702312,
0.2278481,-15.123137808152146,-68.86035810418193,
0.24556962,-15.123137808152146,-68.85137495134073,
0.32405064,-15.123137808152146,-68.84239179849953,
0.31392404,-15.123137808152146,-68.83340864565834,
0.3164557,-15.123137808152146,-68.82442549281714,
0.34683543,-15.123137808152146,-68.81544233997595,
0.32405064,-15.123137808152146,-68.80645918713475,
0.30886075,-15.123137808152146,-68.79747603429355,
0.2607595,-15.123137808152146,-68.78849288145236,
0.19493671,-15.123137808152146,-68.77950972861116,
0.13417721,-15.123137808152146,-68.77052657576998,
0.19746836,-15.123137808152146,-68.76154342292878,
0.14683545,-15.123137808152146,-68.75256027008759,
0.21518987,-15.123137808152146,-68.74357711724639,
0.15189873,-15.123137808152146,-68.73459396440519,
0.17468354,-15.123137808152146,-68.725610811564,
0.18987341,-15.123137808152146,-68.7166276587228,
0.21772152,-15.123137808152146,-68.7076445058816,
0.21265823,-15.123137808152146,-68.69866135304041,
0.22278482,-15.123137808152146,-68.68967820019921,
0.25316456,-15.123137808152146,-68.68069504735801,
0.1392405,-15.123137808152146,-68.67171189451682,
0.07594936,-15.123137808152146,-68.66272874167562,
0.07594936,-15.123137808152146,-68.65374558883444,
0.060759492,-15.123137808152146,-68.64476243599324,
0.103797466,-15.123137808152146,-68.63577928315205,
0.16455697,-15.123137808152146,-68.62679613031085,
0.22278482,-15.123137808152146,-68.61781297746965,
0.23037975,-15.123137808152146,-68.60882982462846,
0.35696203,-15.123137808152146,-68.59984667178726,
0.32405064,-15.123137808152146,-68.59086351894607,
0.2987342,-15.123137808152146,-68.58188036610487,
0.2835443,-15.123137808152146,-68.57289721326367,
0.27594936,-15.123137808152146,-68.56391406042248,
0.20759493,-15.123137808152146,-68.55493090758128,
0.24050634,-15.123137808152146,-68.5459477547401,
0.24050634,-15.123137808152146,-68.5369646018989,
0.1721519,-15.123137808152146,-68.5279814490577,
0.16962026,-15.123137808152146,-68.51899829621651,
0.19746836,-15.123137808152146,-68.51001514337531,
0.27594936,-15.123137808152146,-68.50103199053412,
0.36708862,-15.123137808152146,-68.49204883769292,
0.30126584,-15.123137808152146,-68.48306568485172,
0.21772152,-15.123137808152146,-68.47408253201053,
0.26835442,-15.123137808152146,-68.46509937916933,
0.26835442,-15.123137808152146,-68.45611622632813,
0.28607595,-15.123137808152146,-68.44713307348694,
0.32405064,-15.123137808152146,-68.43814992064574,
0.33164558,-15.123137808152146,-68.42916676780456,
0.36708862,-15.123137808152146,-68.42018361496336,
0.37468356,-15.123137808152146,-68.41120046212217,
0.36708862,-15.123137808152146,-68.40221730928097,
0.36962026,-15.123137808152146,-68.39323415643977,
0.33924052,-15.123137808152146,-68.38425100359858,
0.33417723,-15.123137808152146,-68.37526785075738,
0.41518986,-15.123137808152146,-68.36628469791619,
0.41518986,-15.123137808152146,-68.35730154507499,
0.4278481,-15.123137808152146,-68.3483183922338,
0.43037975,-15.123137808152146,-68.3393352393926,
0.38987342,-15.123137808152146,-68.3303520865514,
0.42531645,-15.13212096099334,-68.87832440986432,
0.34683543,-15.13212096099334,-68.86934125702312,
0.25316456,-15.13212096099334,-68.86035810418193,
0.24303797,-15.13212096099334,-68.85137495134073,
0.23037975,-15.13212096099334,-68.84239179849953,
0.27594936,-15.13212096099334,-68.83340864565834,
0.21012658,-15.13212096099334,-68.82442549281714,
0.23797469,-15.13212096099334,-68.81544233997595,
0.25316456,-15.13212096099334,-68.80645918713475,
0.24303797,-15.13212096099334,-68.79747603429355,
0.27088606,-15.13212096099334,-68.78849288145236,
0.27088606,-15.13212096099334,-68.77950972861116,
0.26835442,-15.13212096099334,-68.77052657576998,
0.17468354,-15.13212096099334,-68.76154342292878,
0.14683545,-15.13212096099334,-68.75256027008759,
0.18987341,-15.13212096099334,-68.74357711724639,
0.17468354,-15.13212096099334,-68.73459396440519,
0.2,-15.13212096099334,-68.725610811564,
0.18987341,-15.13212096099334,-68.7166276587228,
0.17721519,-15.13212096099334,-68.7076445058816,
0.13670886,-15.13212096099334,-68.69866135304041,
0.18481013,-15.13212096099334,-68.68967820019921,
0.1721519,-15.13212096099334,-68.68069504735801,
0.09873418,-15.13212096099334,-68.67171189451682,
0.18227848,-15.13212096099334,-68.66272874167562,
0.10632911,-15.13212096099334,-68.65374558883444,
0.07341772,-15.13212096099334,-68.64476243599324,
0.07341772,-15.13212096099334,-68.63577928315205,
